id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,roi.times,roi.currency,roi.percentage,is_roi_missing,price_spread_percentage,volume_mcap_ratio,is_suspicious,log_volume,log_mcap,ai_prediction,risk_score
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,-0.06337927223922561,183866957080.0,-0.8725274720950643,189332628953,69806113533,1.0,0.999714,-0.000122425805710757,-0.01224,-101553129.80718994,-0.0552,183909539098.507,189376476775.1362,1000000000.0,1.32,-24.43397,2018-07-24T00:00:00.000Z,0.572521,74.63301,2015-03-02T00:00:00.000Z,,2026-03-09T13:16:41.948Z,0.004648615771190747,-0.012243017334623584,0.008349857939336023,0.7354250522657468,,73.54250522657468,1,-0.47040313433978487,0.3796555653131731,0,5.429520873186052,2.1904583239366087,0,1.2570254e-06
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,-0.061985598208371406,1365007270221.0,-0.8781380039509188,1365007270221,44416148484,68455.0,65727.0,1388.97,2.07254,19846948342.0,1.47543,19999906.0,19999906.0,21000000.0,126080.0,-45.74311,2025-10-06T18:57:42.558Z,67.81,100781.92371,2013-07-06T00:00:00.000Z,,2026-03-09T13:16:50.872Z,0.7636307132554199,2.0725383480504798,3.1184173018285852,0.7354250522657468,,73.54250522657468,1,-0.2666563142866779,0.03253912960974656,0,5.101327682365952,2.8173101685229187,0,8.670522e-08
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,-0.06333837087987322,241765568704.0,-0.8753327380229916,241765568704,21159495302,2015.99,1922.33,74.81,3.86855,7442447511.0,3.17615,120692044.8350994,120692044.8350994,1000000000.0,4946.05,-59.3904,2025-08-24T19:21:03.333Z,0.432979,463795.68431,2015-10-20T00:00:00.000Z,,2026-03-09T13:16:50.820Z,0.6056921783729663,3.8685457281455236,3.1433068676795717,38.244991379699215,btc,3824.4991379699213,1,-0.23098184944728364,0.08752071444804703,0,4.56306178566223,2.2760593072015847,0,2.9346353e-07
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,-0.06337927223755499,77203193297.0,-0.8641116743112827,77237728300,8899832749,1.0,0.999811,-0.00010500663736257,-0.0105,-46759665.44177246,-0.06053,77210657099.93465,77245195441.66716,1000000000.0,1.043,-4.16559,2018-11-15T00:00:00.000Z,0.877647,13.94086,2023-03-11T08:02:13.981Z,,2026-03-09T13:16:41.808Z,-0.006364984159147656,-0.010500354112961135,0.0022946400975755376,0.7354250522657468,,73.54250522657468,1,-0.470882837037273,0.11527803927289826,0,3.9343908051015686,1.9191142156661987,0,1.1156144e-06
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,-0.06337757511811487,47993924900.0,-0.8613064083833554,47993938214,3562116690,84.43,81.03,2.28,2.78097,1062455827.0,2.26385,570797032.0822291,570797190.4214885,1000000000.0,293.31,-71.25834,2025-01-19T11:15:27.957Z,0.500801,16733.57152,2020-05-11T19:35:23.449Z,,2026-03-09T13:16:41.708Z,0.7701806831781346,2.7809691677654325,0.4553098295447698,0.7354250522657468,,73.54250522657468,1,-0.26440844306059813,0.07422015801682808,0,3.269699703113962,1.7704715722498556,0,7.7016347e-07
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,-0.06337926490152351,82962391211.0,-0.8669169402392098,135478467438,2380404785,1.36,1.33,0.01017481,0.75468,245738637.0,0.29708,61227832454.0,99985701766.0,100000000000.0,3.65,-62.7463,2025-07-18T03:40:53.808Z,0.00268621,50469.85283,2014-05-22T00:00:00.000Z,,2026-03-09T13:16:41.721Z,0.5411599758830413,0.7546760821364937,0.7504458184820836,0.7354250522657468,,73.54250522657468,1,-0.360320108858767,0.028692576843851736,0,2.9771004008651683,1.9416112375824757,0,3.527172e-07
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,-0.06337927224890307,4610429724.0,-0.8192274194644469,4610429724,1699058793,1.0,0.998838,-0.000480845504188143,-0.04809,8330644.0,0.18102,4612475989.237922,4612475989.237922,1000000000.0,1.025,-2.47381,2025-05-12T12:36:39.412Z,0.989633,0.99441,2025-10-01T08:51:32.103Z,,2026-03-09T13:16:52.266Z,-0.00588452872743072,-0.048091849297989694,0.0020352267367767327,0.7354250522657468,,73.54250522657468,1,-0.46606675380063134,0.3685250387370344,0,2.7323294631960904,1.0379143972057256,0,1.305604e-05
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,-0.06337929075341679,13932361295.0,-0.8528906105995737,13932499406,1146495922,0.091425,0.088006,0.00244418,2.75673,303705864.0,2.22844,153334986383.7052,153336506383.7052,1000000000.0,0.731578,-87.5466,2021-05-08T05:08:23.458Z,8.69e-05,104735.87753,2015-05-06T00:00:00.000Z,,2026-03-09T13:16:52.046Z,0.6917866205269682,2.756729486495068,-0.7882509349288431,0.7354250522657468,,73.54250522657468,1,-0.27978201144449966,0.08229013715924526,0,2.446786071826875,1.3837169135948797,0,1.9004118e-06
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,-0.06336639919951328,86162308795.0,-0.8697222061671371,86162308795,869666217,633.19,609.71,17.18,2.78991,1813058092.0,2.14947,136358383.7,136358383.7,200000000.0,1369.99,-53.80641,2025-10-13T08:41:24.131Z,0.0398177,1589264.22965,2017-10-19T00:00:00.000Z,,2026-03-09T13:16:50.981Z,0.6917319723923682,2.789906213824721,1.7532398890429433,0.7354250522657468,,73.54250522657468,1,-0.28146023320153724,0.0100933485784259,0,2.2461789696606043,1.9534451550482512,0,3.2099192e-07
tether-gold,xaut,Tether Gold,https://coin-images.coingecko.com/coins/images/10481/large/Tether_Gold.png?1696510471,-0.06327618770612461,2858206083.0,-0.78556422832932,3608507603,666099621,5141.45,5010.19,-78.45292267432069,-1.52657,-42673647.22913313,-1.47106,564548.641693,712747.089,1000000000.0,5504.62,-8.03542,2026-01-29T00:00:00.000Z,1447.84,249.64448,2020-03-19T13:45:41.821Z,,2026-03-09T13:16:52.092Z,-0.07033993787919621,-1.5265665566044053,-5.732748029401494,0.7354250522657468,,73.54250522657468,1,-0.34231648866702363,0.2330481432842685,0,2.0526028175643733,0.8884085704993365,0,1.4285054e-05
