id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,65903.0,1322752380119,1,1322752380119,48604179774,68116.0,65768.0,-1960.0477122880984,-2.88823,-34596002333.9624,-2.54879,19995565.0,19995565.0,21000000.0,126080.0,-47.72895,2025-10-06T18:57:42.558Z,67.81,97089.57979,2013-07-06T00:00:00.000Z,,2026-02-27T14:44:32.643Z,,,
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1949.18,235983777816,2,235983777816,24714428388,2061.14,1949.16,-111.9577918494756,-5.43183,-12902223873.555084,-5.18399,120692267.571508,120692267.571508,,4946.05,-60.59105,2025-08-24T19:21:03.333Z,0.432979,450080.33376,2015-10-20T00:00:00.000Z,,2026-02-27T14:44:32.392Z,38.57001600813796,btc,3857.0016008137964
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,183582460781,3,189050374708,78114174867,1.0,0.999938,1.016e-05,0.00102,-41461821.80792236,-0.02258,183549673295.2683,189016610662.9562,,1.32,-24.40943,2018-07-24T00:00:00.000Z,0.572521,74.68971,2015-03-02T00:00:00.000Z,,2026-02-27T14:44:33.727Z,,,
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.37,83704755455,4,137159519237,3362329990,1.44,1.37,-0.06587838110838362,-4.59084,-3857792890.5534973,-4.40576,61018583977.0,99985712847.0,100000000000.0,3.65,-62.45267,2025-07-18T03:40:53.808Z,0.00268621,50868.43525,2014-05-22T00:00:00.000Z,,2026-02-27T14:44:27.642Z,,,
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,612.82,83518394650,5,83518394319,1864092198,633.37,611.0,-12.204506568695251,-1.95265,-1736368883.4874878,-2.03668,136358824.66,136358824.12,200000000.0,1369.99,-55.26842,2025-10-13T08:41:24.131Z,0.0398177,1538961.65188,2017-10-19T00:00:00.000Z,,2026-02-27T14:44:32.262Z,,,
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,1.0,75220873907,6,75221724364,10598466940,1.0,0.999797,0.00011183,0.01118,-114640554.98043823,-0.15217,75227137916.12001,75227988443.5235,,1.17,-14.73065,2019-05-08T00:40:28.300Z,0.877647,13.93639,2023-03-11T08:02:13.981Z,,2026-02-27T14:44:27.874Z,,,
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,82.99,47217012611,7,51571272690,4383275908,88.1,82.37,-4.475222867040728,-5.11652,-2572359683.8033752,-5.16648,568871701.7474756,621331931.7327062,,293.31,-71.70556,2025-01-19T11:15:27.957Z,0.500801,16471.64169,2020-05-11T19:35:23.449Z,,2026-02-27T14:44:28.834Z,,,
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.283909,26903472033,8,26903477364,452151549,0.286552,0.283868,-0.002583396637513835,-0.90173,-243731084.7141571,-0.89781,94738741566.0278,94738760340.6899,,0.431288,-34.17189,2024-12-04T00:10:40.323Z,0.00180434,15634.76698,2017-11-12T00:00:00.000Z,,2026-02-27T14:44:31.664Z,148.42576411092753,usd,14842.576411092752
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.094481,15973082491,9,15973511819,1244883386,0.098974,0.094282,-0.004406766671674167,-4.45632,-734346187.0114594,-4.39533,168909873126.579,168914413126.579,,0.731578,-87.08529,2021-05-08T05:08:23.458Z,8.69e-05,108619.34869,2015-05-06T00:00:00.000Z,,2026-02-27T14:44:28.004Z,,,
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.017,15701012984,10,15701012984,24162275,1.034,1.017,-0.014672199999999913,-1.42213,-188873007.5893135,-1.18864,15438097551.037,15438097551.037,,1.37,-25.7427,2025-10-28T06:05:38.345Z,0.155357,554.64248,2025-10-31T14:27:24.456Z,,2026-02-27T14:44:27.029Z,,,
